Smiles,atom_target
[Cl:1][c:2]1[cH:3][cH:4][c:5]([cH:6][c:7]1[CH2:8][c:9]2[cH:10][cH:11][c:12]([O:13][CH2:14][CH2:15][O:16][CH:17]3[CH2:18][CH2:19]3)[cH:20][cH:21]2)[CH:22]4[O:23][CH:24]([CH2:25][OH:26])[CH:27]([OH:28])[CH:29]([OH:30])[CH:31]4[OH:32],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[OH:1][CH:2]1[CH:3]=[CH:4][CH:5]2[CH:6]3[N:7]([CH3:8])[CH2:9][CH2:10][C:11]24[C:12]5=[C:13]([O:14][CH:15]14)[C:16]([O:17][CH3:18])=[CH:19][CH:20]=[C:21]5[CH2:22]3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[NH:4][CH:5]1[C:6]2=[CH:7][CH:8]=[CH:9][CH:10]=[C:11]2[CH:12]([C:13]3=[CH:14][CH:15]=[C:16]([Cl:17])[C:18]([Cl:19])=[CH:20]3)[CH2:21][CH2:22]1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[NH:3][C:4]2=[CH:5][CH:6]=[C:7]([OH:8])[CH:9]=[C:10]2[C:11]1=[CH:12][C:13]=3[NH:14][C:15]4=[C:16]([C:17](=[O:18])[N:19]([CH2:20][CH2:21]4)[CH2:22][CH2:23][N:24]([CH2:25][CH3:26])[CH2:27][CH3:28])[C:29]3[CH3:30],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH2:4][CH3:5])[c:6]1[c:7]2[c:8]([cH:9][c:10]([Br:11])[c:12]([OH:13])[c:14]2[CH2:15][N:16]([CH3:17])[CH3:18])[n:19]([c:20]1[CH2:21][S:22][c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[CH3:29],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[CH:1]1=[CH:2][CH:3]=[C:4]2[C:5](=[CH:6]1)[N:7]3[CH2:8][CH2:9][N:10]([CH3:11])[CH2:12][CH:13]3[C:14]4=[CH:15][CH:16]=[CH:17][CH:18]=[C:19]4[CH2:20]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[O:3][CH:4]([CH3:5])[CH2:6][CH2:7][CH2:8][CH:9]([OH:10])[CH2:11][CH2:12][CH2:13][CH:14]=[CH:15][C:16]2=[CH:17][C:18]([OH:19])=[CH:20][C:21]([OH:22])=[C:23]12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[C:4]1=[CH:5][N:6]=[C:7]([N:8]1[CH2:9][CH2:10][S:11](=[O:12])(=[O:13])[CH2:14][CH3:15])[CH2:16][OH:17],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[O:10][C:11](=[O:12])[CH3:13],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[C:3]([C:4]2=[CH:5][CH:6]=[C:7]([CH:8]=[CH:9]2)[CH2:10][OH:11])=[C:12]([C:13]3=[CH:14][CH:15]=[C:16]([CH:17]=[CH:18]3)[S:19](=[O:20])(=[O:21])[CH3:22])[CH2:23][N:24]1[CH2:25][CH2:26][CH3:27],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1)[CH:9]([N:10]2[CH2:11][CH2:12][CH2:13][CH:14]2[OH:15])[CH2:16][CH2:17][CH3:18],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([Cl:10])=[CH:11]1)[N:12]2[CH2:13][CH:14]3[O:15][CH:16]3[CH2:17]2)[CH3:18],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][N:5]([C:6](=[O:7])[O:8][C:9]1=[CH:10][CH:11]=[C:12]([O:13][CH3:14])[CH:15]=[CH:16]1)[CH:17]([C:18]2=[CH:19][CH:20]=[C:21]([O:22][CH2:23][CH2:24][C:25]=3[N:26]=[C:27]([O:28][C:29]3[CH3:30])[C:31]4=[CH:32][CH:33]=[CH:34][CH:35]=[CH:36]4)[CH:37]=[CH:38]2)[CH3:39],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]([O:5][C:6]1=[CH:7][CH:8]=[C:9]([Cl:10])[CH:11]=[CH:12]1)([CH3:13])[CH3:14],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([CH:3]=[CH:4][C:5]=1[CH:6]=[C:7]([C:8]([OH:9])=[CH:10][C:11]1[O:12][CH3:13])[C:14]([CH:15]=[CH2:16])([CH3:17])[CH3:18])[C:19]2=[CH:20][CH:21]=[C:22]([OH:23])[CH:24]=[CH:25]2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[Cl:1][C:2]1=[CH:3][CH:4]=[C:5]2[O:6][C:7]3=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]3[CH:13]4[CH2:14][N:15]([CH3:16])[CH2:17][CH:18]4[C:19]2=[CH:20]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][N:6]1[C:7](=[O:8])[NH:9][C:10]2=[CH:11][CH:12]=[CH:13][CH:14]=[C:15]12,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][CH:2]1[CH2:3][CH2:4][C:5]2([CH3:6])[CH:7]([CH2:8][CH2:9][CH:10]3[CH:11]4[CH2:12][CH2:13][CH:14]([CH:15]([OH:16])[CH3:17])[C:18]4([CH3:19])[CH2:20][CH2:21][CH:22]23)[CH2:23]1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[CH:1]#[C:2][C:3]1([OH:4])[CH2:5][CH2:6][CH:7]2[CH:8]3[CH2:9][CH2:10][C:11]4=[CH:12][C:13]([OH:14])=[CH:15][CH:16]=[C:17]4[CH:18]3[CH2:19][CH2:20][C:21]12[CH3:22],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]([NH2:5])[CH2:6][S:7][S:8][CH2:9][CH:10]([C:11](=[O:12])[N:13]1[CH2:14][CH:15]([S:16][C:17]2=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]2)[CH2:23][CH:24]1[C:25](=[O:26])[OH:27])[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[O:1]=[S:2](=[O:3])([NH2:4])[C:5]1=[CH:6][CH:7]=[C:8]([CH:9]=[CH:10]1)[C:11]=2[C:12](=[N:13][O:14][C:15]2[CH3:16])[C:17]3=[CH:18][CH:19]=[CH:20][CH:21]=[CH:22]3,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1([O:6][CH2:7][CH2:8][C:9]=2[C:10]3=[CH:11][CH:12]=[CH:13][C:14](=[C:15]3[NH:16][C:17]12)[CH2:18][CH3:19])[CH2:20][CH3:21],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][cH:5][c:6]([cH:7]1)[CH:8]([OH:9])[CH:10]([NH:11][C:12]([CH3:13])([CH3:14])[CH3:15])[CH3:16],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]2[CH:6]3[N:7]([CH3:8])[CH2:9][CH2:10][C:11]24[c:12]5[c:13]([O:14][CH:15]14)[c:16]([OH:17])[cH:18][cH:19][c:20]5[CH2:21]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[OH:1][CH:2]([CH2:3][O:4][C:5]1=[CH:6][CH:7]=[CH:8][C:9]=2[NH:10][C:11]3=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]3[C:17]12)[CH2:18][NH:19][CH2:20][CH2:21][O:22][C:23]4=[CH:24][CH:25]=[CH:26][CH:27]=[C:28]4[O:29][CH3:30],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[F:1][C:2]=1[CH:3]=[CH:4][CH:5]=[C:6]([CH:7]1)[NH:8][C:9]2=[N:10][NH:11][C:12]=3[C:13]=4[CH:14]=[C:15]([O:16][CH3:17])[C:18]([O:19][CH3:20])=[CH:21][C:22]4[CH2:23][C:24]23,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][C:2]=1[CH:3]=[CH:4][CH:5]=[C:6]([CH:7]1)[CH:8]([CH2:9][CH3:10])[CH:11]([CH3:12])[CH2:13][N:14]([CH3:15])[CH3:16],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH2:4][CH3:5])[c:6]1[c:7]2[c:8]([cH:9][c:10]([Br:11])[c:12]([OH:13])[c:14]2[CH2:15][N:16]([CH3:17])[CH3:18])[n:19]([c:20]1[CH2:21][OH:22])[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[O:1]=[C:2]1[C:3]2=[CH:4][C:5]([NH2:6])=[CH:7][CH:8]=[C:9]2[N:10]=[C:11]([N:12]1[C:13]3=[CH:14][CH:15]=[CH:16][CH:17]=[C:18]3[CH3:19])[CH2:20][F:21],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1([O:6][CH2:7][CH2:8][C:9]=2[C:10]3=[CH:11][CH:12]=[CH:13][C:14](=[C:15]3[NH:16][C:17]12)[CH:18]([OH:19])[CH3:20])[CH2:21][CH3:22],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[C:3](=[CH:4][O:5][C:6]2=[CH:7][C:8]([O:9][CH2:10][CH3:11])=[CH:12][CH:13]=[C:14]12)[C:15]3=[CH:16][CH:17]=[C:18]([OH:19])[CH:20]=[CH:21]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[OH:1][C:2]1=[CH:3][CH:4]=[C:5]2[NH:6][C:7]=3[S:8][C:9](=[CH:10][C:11]3[C:12](=[N:13][C:14]2=[CH:15]1)[N:16]4[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]4)[CH3:23],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
