Smiles,bond_target
[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[O:9][CH2:10][CH:11]([OH:12])[CH2:13][NH:14][CH2:15][CH2:16][CH3:17])[CH2:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([N:3]1[CH2:4][CH2:5][N:6]([c:7]2[cH:8][cH:9][c:10]([O:11][CH2:12][CH:13]3[O:14][C:15]([O:16][CH2:17]3)([c:18]4[cH:19][cH:20][c:21]([Cl:22])[cH:23][c:24]4[Cl:25])[CH2:26][N:27]5[C:28](=[O:29])[CH2:30][NH:31][CH:32]5[OH:33])[cH:34][cH:35]2)[CH2:36][CH2:37]1)[CH3:38],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]([c:2]1[cH:3][cH:4][c:5]2[nH:6][c:7]3[c:8]([c:9]2[cH:10]1)[CH2:11][CH2:12][N:13]4[CH2:14][CH:15]5[CH2:16][CH:17]3[CH:18]4[CH:19]([CH2:20][CH3:21])[CH2:22]5)[CH3:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([O:7][CH2:8][CH2:9][CH2:10][CH2:11][CH2:12][CH3:13])[cH:14][cH:15][c:16]2[cH:17][cH:18]1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([n:7][cH:8][cH:9][c:10]2[NH:11][c:12]3[cH:13][cH:14][c:15]([OH:16])[c:17]([cH:18]3)[CH2:19][N:20]([CH2:21][CH3:22])[CH2:23][CH3:24])[cH:25]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[cH:7][cH:8][c:9]3[c:10]2[c:11]([c:12]4[cH:13][cH:14][cH:15][cH:16][c:17]4[c:18]3[CH3:19])[CH3:20],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([cH:7][cH:8]1)[CH:9]([OH:10])[c:11]2[cH:12][cH:13][c:14]([C:15]#[N:16])[cH:17][cH:18]2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[o:3][c:4]2[cH:5][c:6]([O:7][CH2:8][c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][cH:16][c:17]2[c:18]([cH:19]1)[C:20]([F:21])([F:22])[F:23],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[n:1]1[c:2]([n:3][c:4]([n:5][c:6]1[NH:7][CH2:8][CH3:9])[NH:10][CH:11]([CH3:12])[CH3:13])[S:14][CH3:15],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]([O:9][CH:10]([c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH2:18][NH:19][CH3:20])[cH:21][cH:22]1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]2[c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[cH:13][cH:14][c:15]2[c:16]4[cH:17][cH:18][cH:19][cH:20][c:21]14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[S:1]1[c:2]2[cH:3][cH:4][cH:5][cH:6][c:7]2[N:8]([c:9]3[cH:10][c:11]([S:12][CH3:13])[cH:14][cH:15][c:16]13)[CH2:17][CH2:18][CH:19]4[N:20]([CH3:21])[CH2:22][CH2:23][CH2:24][CH2:25]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[P:2]1([O:3][CH2:4][CH2:5][CH2:6][N:7]1[CH2:8][CH2:9][Cl:10])[NH:11][CH2:12][CH2:13][Cl:14],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([S:8][c:9]2[n:10][c:11]([cH:12][c:13]([n:14]2)[N:15]3[CH2:16][CH2:17][N:18]([CH3:19])[CH2:20][CH2:21]3)[NH:22][c:23]4[n:24][nH:25][c:26]([cH:27]4)[CH3:28])[cH:29][cH:30]1)[CH:31]5[CH2:32][CH2:33]5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[NH:3][CH2:4][C:5](=[O:6])[N:7]([CH3:8])[CH:9]([C:10](=[O:11])[NH:12][CH:13]([C:14](=[O:15])[N:16]([C:17]1=[CH:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH3:25])[CH2:26][CH:27]([CH3:28])[CH3:29])[CH3:30],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][c:5]2[S:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[N:13]([c:14]2[cH:15]1)[CH2:16][CH2:17][CH2:18][N:19]4[CH2:20][CH2:21][N:22]([CH2:23][CH2:24][OH:25])[CH2:26][CH2:27]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[F:1][C:2]([F:3])([F:4])[O:5][c:6]1[cH:7][cH:8][c:9]([OH:10])[c:11]([cH:12]1)[CH2:13][NH:14][CH:15]2[CH2:16][CH2:17][CH2:18][NH:19][CH:20]2[c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][N:5]([C:6](=[O:7])[O:8][c:9]1[cH:10][cH:11][c:12]([O:13][CH3:14])[cH:15][cH:16]1)[CH2:17][c:18]2[cH:19][cH:20][c:21]([O:22][CH2:23][CH2:24][c:25]3[n:26][c:27]([o:28][c:29]3[CH3:30])-[c:31]4[cH:32][cH:33][cH:34][cH:35][cH:36]4)[cH:37][cH:38]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]2[cH:7][cH:8][cH:9][c:10]3[cH:11][cH:12][c:13]4[cH:14][cH:15][cH:16][c:17]1[c:18]4[c:19]23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)-[c:8]2[nH:9][c:10]([n:11][c:12]2-[c:13]3[cH:14][cH:15][n:16][c:17]([cH:18]3)[NH:19][CH:20]([c:21]4[cH:22][cH:23][cH:24][cH:25][cH:26]4)[CH3:27])[S:28][CH3:29],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH2:3])[CH2:4][S:5](=[O:6])[CH:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([CH:3]([c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[F:10])[N:11]2[CH2:12][c:13]3[cH:14][c:15]([OH:16])[s:17][c:18]3[CH2:19][CH2:20]2)[CH:21]4[CH2:22][CH2:23]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH2:3])[N:4]1[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]=[CH:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][c:5]2[NH:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[C:13](=[N:14][c:15]2[cH:16]1)[N:17]4[CH2:18][CH2:19][N:20]([CH3:21])[CH2:22][CH2:23]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[OH:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[CH:8]([CH2:9][N:10]([CH3:11])[CH3:12])[C:13]2([OH:14])[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[c:2]1[cH:3][cH:4][c:5]2-[c:6]([o:7][c:8]3[cH:9][c:10]([O:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][cH:18]4)[cH:19][cH:20][c:21]3[c:22]2-[c:23]5[cH:24][cH:25][cH:26][cH:27][c:28]5[C:29](=[O:30])[O:31][CH2:32][c:33]6[cH:34][cH:35][cH:36][cH:37][cH:38]6)[cH:39]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[O:3][CH2:4][C:5](=[CH:6]1)[CH:7]2[CH2:8][CH2:9][C:10]3([OH:11])[CH:12]4[CH2:13][CH2:14][CH:15]5[CH2:16][CH:17]([O:18][CH:19]6[O:20][CH:21]([CH3:22])[CH:23]([O:24][CH:25]7[O:26][CH:27]([CH3:28])[CH:29]([O:30][CH:31]8[O:32][CH:33]([CH3:34])[CH:35]([OH:36])[CH:37]([OH:38])[CH2:39]8)[CH:40]([OH:41])[CH2:42]7)[CH:43]([OH:44])[CH2:45]6)[CH2:46][CH2:47][C:48]5([CH3:49])[CH:50]4[CH2:51][CH2:52][C:53]23[CH3:54],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Br:1][c:2]1[cH:3][c:4]([Br:5])[c:6]([NH2:7])[c:8]([cH:9]1)[CH2:10][NH:11][CH:12]2[CH2:13][CH2:14][CH:15]([OH:16])[CH2:17][CH2:18]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][CH2:10][NH:11][CH2:12][CH2:13][CH2:14][CH3:15])[cH:16][cH:17]1)[c:18]2[c:19]3[cH:20][c:21]([cH:22][cH:23][c:24]3[o:25][c:26]2[CH2:27][CH2:28][CH2:29][CH3:30])[NH:31][S:32](=[O:33])(=[O:34])[CH3:35],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][CH:2]1[CH:3]=[CH:4][CH:5]2[CH:6]3[N:7]([CH3:8])[CH2:9][CH2:10][C:11]24[c:12]5[c:13]([O:14][CH:15]14)[c:16]([O:17][CH2:18][CH3:19])[cH:20][cH:21][c:22]5[CH2:23]3,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH:3][CH:4]([CH:5]([Cl:6])[CH3:7])[CH:8]1[O:9][CH:10]([S:11][CH3:12])[CH:13]([OH:14])[CH:15]([OH:16])[CH:17]1[OH:18])[CH:19]2[N:20]([CH3:21])[CH2:22][CH:23]([CH2:24][CH2:25][CH3:26])[CH2:27]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[n:1]1[cH:2][cH:3][c:4]-2[n:5][c:6]1[NH:7][c:8]3[cH:9][cH:10][c:11]([O:12][CH2:13][CH2:14][N:15]4[CH2:16][CH2:17][CH2:18][CH2:19]4)[c:20]([cH:21]3)[CH2:22][O:23][CH2:24][CH:25]=[CH:26][CH2:27][O:28][CH2:29][c:30]5[cH:31][cH:32][cH:33][c:34]2[cH:35]5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[F:1][c:2]1[cH:3][cH:4][cH:5][c:6]([cH:7]1)[CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][N:13]([CH2:14][CH2:15]2)[CH2:16][CH2:17][CH2:18][c:19]3[cH:20][c:21]4[cH:22][c:23]([cH:24][cH:25][c:26]4[nH:27]3)-[n:28]5[cH:29][n:30][n:31][cH:32]5,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([cH:7][c:8]1[Cl:9])-[c:10]2[n:11][n:12]([cH:13][cH:14]2)[CH2:15][CH:16]([NH:17][C:18](=[O:19])[c:20]3[n:21][nH:22][c:23]([cH:24]3)[CH:25]([OH:26])[CH3:27])[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[NH:3][C:4](=[O:5])[C:6]([NH:7]1)([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[F:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1-[c:8]2[n:9][n:10][c:11]3[cH:12][c:13]([c:14]([n:15][n:16]23)[O:17][CH2:18][c:19]4[n:20][cH:21][n:22][n:23]4[CH2:24][CH3:25])[C:26]([CH3:27])([CH3:28])[CH3:29],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[N:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[c:10]3[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]3[N:17]([C:18](=[O:19])[CH2:20]1)[CH3:21],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[P:2]1([O:3][CH2:4][CH2:5][CH2:6][NH:7]1)[N:8]([CH2:9][CH2:10][Cl:11])[CH2:12][CH2:13][Cl:14],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
