Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
S(=O)(=O)(C)c1ccc(-c2ccc([C@H](N[C@H](C(O)=NC3(C#N)CC3)CC(F)(C)C)C(F)(F)F)cc2)cc1,,,,,,,,,1.0,CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(O)=NC1(C#N)CC1,1.0
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,2.0
CCNCc1cc(=O)oc2cc(OC)ccc12,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,CCNCc1cc(=O)oc2cc(OC)ccc12,3.0
C(C)(C)c1cc-2c(C)ccc-2c(C)cc1,1.0,,,,,,,,,Cc1ccc(C(C)C)cc2c(C)ccc1-2,1.0
ClC(Cl)=CCl,1.0,,,,,,,,1.0,ClC=C(Cl)Cl,2.0
C=C[C@]1(CO)CCC(C(C)(C)OC2OC(CO)C(O)C(O)C2O)O1,,,,,,,,,0.0,C=CC1(CO)CCC(C(C)(C)OC2OC(CO)C(O)C(O)C2O)O1,0.0
Clc1c(C)c(Nc2c(C(=O)O)cccc2)ccc1,,,,,,,,,1.0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,1.0
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,5.0
[O:1]=[C:2]([OH:3])[c:4]1[cH:5][n:6]([c:7]2[cH:8][c:9]([c:10]([F:11])[cH:12][c:13]2[c:14]1=[O:15])[N:16]3[CH2:17][CH2:18][NH:19][CH2:20][CH2:21]3)[CH:22]4[CH2:23][CH2:24]4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2.0
[O:1]=[c:2]1[n:3][c:4]([nH:5][o:6]1)-[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2-[c:13]3[cH:14][cH:15][c:16]([cH:17][cH:18]3)[CH2:19][n:20]4[c:21]([n:22][c:23]5[cH:24][cH:25][cH:26][c:27]([C:28](=[O:29])[OH:30])[c:31]45)[O:32][CH2:33][CH3:34],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1,1.0
[F:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]2=[N:9][CH2:10][c:11]3[cH:12][n:13][c:14]([n:15]3-[c:16]4[cH:17][cH:18][c:19]([Cl:20])[cH:21][c:22]24)[CH2:23][OH:24],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,1.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)[C@@H]1c1cccc([N+](=O)[O-])c1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,9.0
[O:1]=[C:2]1[NH:3][c:4]2[n:5][c:6]([cH:7][cH:8][c:9]2[O:10][C:11]1([CH3:12])[CH3:13])[NH:14][c:15]3[n:16][c:17]([n:18][cH:19][c:20]3[F:21])[NH:22][c:23]4[cH:24][c:25]([O:26][CH3:27])[c:28]([O:29][CH3:30])[c:31]([O:32][CH3:33])[cH:34]4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,1.0
COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,4.0
O(C)c1cc(NC(CCCN)C)c2ncccc2c1,1.0,,,,,,,,1.0,COc1cc(NC(C)CCCN)c2ncccc2c1,2.0
O=C(N1CC(=O)N2C(c3c(cccc3)CC2)C1)C1CCCCC1,1.0,,,,,1.0,1.0,,1.0,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,4.0
O=C1N(C)C(=O)N=C(O)C1(C(C#CCC)C)CC=C,,,,,,1.0,1.0,,,C=CCC1(C(C)C#CCC)C(=O)N(C)C(=O)N=C1O,2.0
CCc1ccc(CCOc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,3.0
CN1CC=C(c2ccccc2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CN1CC=C(c2ccccc2)CC1,1.0
c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,c1ccccc1,1.0
C=C1C=CC(C(C)CC(O)C=C(C)C)CC1,,,,,,,,,0.0,C=C1C=CC(C(C)CC(O)C=C(C)C)CC1,0.0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,6.0
[N:1]#[C:2][CH2:3][CH:4]([n:5]1[n:6][cH:7][c:8]([cH:9]1)-[c:10]2[n:11][cH:12][n:13][c:14]3[nH:15][cH:16][cH:17][c:18]23)[CH:19]4[CH2:20][CH2:21][CH2:22][CH2:23]4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2.0
Clc1ccc2nsnc2c1NC1=NCCN1,1.0,,,,,,,,,Clc1ccc2nsnc2c1NC1=NCCN1,1.0
O=C1C(C(O)=N)=C(O)[C@@H](N(C)C)[C@H]2[C@]1(O)C(O)=C1C(=O)c3c(O)cccc3[C@](O)(C)[C@H]1C2,,,,,,,,,1.0,CN(C)C1C(O)=C(C(=N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,1.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.0
