SMI_Idx,Smiles,Enzyme,SOMs,Scores,RXN_Type,Uncertainty,Products
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,0,0.97,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,2,0.85,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,10,0.6,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,14,0.85,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP1A2,14,0.97,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,0,0.97,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,2,0.71,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,6,0.51,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3C(O)C12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,7,0.54,Hydroxylation,L,['C=C1CCCC2(C)Cc3occ(C)c3CC12O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,9,0.98,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,10,0.73,Hydroxylation,L,['C=C1CC(O)CC2(C)Cc3occ(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,14,0.87,Hydroxylation,L,['C=C1CCCC2(C)C1Cc1c(C)coc1C2O']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2A6,14,0.98,Epoxidation,H,['Cc1coc2c1CC1C(C)(CCCC13CO3)C2']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,0,0.97,Hydroxylation,H,['C=C1CCCC2(C)Cc3occ(CO)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,2,0.74,Hydroxylation,L,['C=C1CCCC2(C)Cc3oc(O)c(C)c3CC12']
0,CC1=COC2=C1CC3C(CCCC3(C)C2)=C,CYP2B6,9,0.97,Hydroxylation,H,['C=C1C(O)CCC2(C)Cc3occ(C)c3CC12']
